id_juguete,categoria,marca,precio,edad_recomendada,num_piezas,rating,num_resenas,fecha_lanzamiento,superventas
1,Tecnología,FunLab,14.38,8,837,3.8,4683,2021-05-29 07:44:48,0
2,Mesa,RoboToy,5.6,7,644,3.6,1622,2024-08-27 14:18:36,0
3,Educativos,FunLab,77.21,13,232,3.9,341,2019-05-24 16:53:14,0
4,Mesa,StarFun,27.34,14,523,3.4,4052,2020-11-21 22:42:49,0
5,Mesa,FunLab,13.16,7,345,3.5,2074,2020-01-28 23:28:34,0
6,Muñecos,MegaPlay,50.63,6,1069,3.8,645,2019-02-14 12:53:05,0
7,Educativos,RoboToy,10.84,5,545,2.7,4826,2019-02-28 13:29:33,0
8,Educativos,RoboToy,106.96,5,1101,3.1,4263,2021-12-07 10:09:27,0
9,Educativos,StarFun,8.18,6,1096,3.9,609,2021-01-20 07:21:38,0
10,Mesa,MegaPlay,71.57,11,793,3.6,454,2018-06-15 16:34:39,0
11,Tecnología,EduKids,55.42,4,248,3.3,2953,2021-07-10 12:56:02,0
12,Educativos,FunLab,82.28,11,46,4.3,1708,2023-01-11 07:48:53,0
13,Exterior,HappyBlocks,42.74,3,1144,4.2,3472,2022-12-11 08:36:07,0
14,Mesa,FunLab,22.83,3,213,2.9,2969,2023-01-13 00:12:30,0
15,Muñecos,FunLab,117.91,7,238,4.7,3028,2022-09-30 03:45:28,0
16,Tecnología,EduKids,101.48,8,1079,3.7,4797,2022-02-22 04:15:04,0
17,Exterior,FunLab,103.95,8,349,4.4,2681,2020-09-17 07:12:03,0
18,Exterior,MegaPlay,33.78,5,106,3.9,3629,2020-05-24 05:09:33,0
19,Muñecos,MegaPlay,9.47,9,830,5.0,4225,2024-06-25 13:00:20,1
20,Tecnología,RoboToy,39.88,11,47,4.4,3067,2021-12-11 22:38:25,1
21,Mesa,StarFun,66.76,13,336,4.3,1386,2020-09-17 19:54:50,1
22,Construcción,HappyBlocks,42.56,14,1049,4.4,3776,2018-05-03 07:55:20,1
23,Tecnología,FunLab,100.2,12,803,2.9,2866,2020-03-14 19:17:11,0
24,Muñecos,FunLab,36.23,10,1280,3.0,4788,2020-02-15 11:34:26,0
25,Exterior,EduKids,116.0,8,7,4.3,3363,2021-02-15 07:36:26,0
26,Mesa,StarFun,57.59,14,624,3.7,4889,2018-08-13 10:30:51,0
27,Tecnología,MegaPlay,101.83,10,1276,4.4,4124,2023-05-02 11:46:36,0
28,Construcción,HappyBlocks,27.35,14,718,2.8,148,2019-11-15 10:06:00,0
29,Construcción,RoboToy,52.31,7,302,3.8,3850,2024-01-15 23:24:50,0
30,Educativos,MegaPlay,85.44,10,638,3.4,2058,2020-06-21 07:34:48,0
31,Educativos,StarFun,20.91,12,55,3.6,1136,2023-05-28 04:13:21,0
32,Muñecos,RoboToy,20.27,14,725,4.0,186,2024-10-03 00:03:23,0
33,Tecnología,EduKids,116.5,6,525,3.8,2854,2022-10-27 20:31:37,0
34,Tecnología,EduKids,87.18,12,473,3.8,1250,2020-04-02 18:32:46,0
35,Exterior,FunLab,9.72,10,27,3.7,1333,2022-02-12 08:04:55,0
36,Exterior,StarFun,50.86,12,77,3.5,4193,2024-12-03 03:12:04,0
37,Exterior,HappyBlocks,54.85,14,1239,4.4,4150,2024-06-29 19:24:58,1
38,Educativos,RoboToy,90.56,4,1409,2.5,2711,2021-05-02 05:50:50,0
39,Tecnología,MegaPlay,33.85,14,364,4.0,4853,2022-04-10 10:52:17,0
40,Tecnología,StarFun,26.2,14,665,3.9,4501,2022-07-21 23:14:31,0
41,Construcción,StarFun,14.3,7,525,4.3,1785,2018-05-12 16:29:47,1
42,Educativos,EduKids,54.26,11,698,4.0,750,2018-09-10 15:13:41,0
43,Mesa,FunLab,84.18,6,1335,4.6,1762,2019-04-30 20:42:47,0
44,Educativos,FunLab,11.69,13,882,4.9,3920,2019-02-13 08:02:02,1
45,Mesa,RoboToy,110.25,8,1030,3.4,4460,2022-11-21 14:21:56,0
46,Construcción,EduKids,55.87,3,1026,3.1,481,2024-08-22 01:04:47,0
47,Muñecos,StarFun,32.58,11,918,3.6,153,2022-06-09 16:19:29,0
48,Tecnología,HappyBlocks,15.8,3,749,3.2,1524,2020-07-10 22:29:25,0
49,Construcción,EduKids,26.03,7,362,4.0,2120,2021-05-08 23:09:24,0
50,Tecnología,RoboToy,112.48,6,1297,4.8,2343,2022-06-13 16:35:07,0
51,Exterior,RoboToy,78.4,14,805,2.8,1240,2024-05-23 20:01:51,0
52,Muñecos,EduKids,64.42,5,738,2.8,60,2020-08-26 08:28:11,0
53,Muñecos,RoboToy,80.57,8,1038,3.1,938,2019-11-09 14:14:28,0
54,Construcción,EduKids,55.1,4,1215,4.3,1639,2023-04-09 03:09:04,1
55,Muñecos,MegaPlay,88.95,5,484,4.0,4120,2019-01-29 00:32:44,0
56,Mesa,EduKids,10.49,7,27,2.8,4226,2023-11-12 20:17:35,0
57,Muñecos,EduKids,70.09,11,713,4.8,3569,2020-03-10 07:01:17,1
58,Tecnología,RoboToy,23.24,4,1062,4.5,1252,2022-01-26 17:22:36,1
59,Tecnología,RoboToy,18.82,12,1296,2.6,4203,2022-04-16 13:19:46,0
60,Tecnología,FunLab,44.32,10,1254,4.1,171,2019-08-29 12:27:37,0
61,Tecnología,FunLab,15.56,4,85,4.4,1458,2019-03-15 09:24:18,1
62,Mesa,MegaPlay,15.83,13,1497,3.4,3549,2022-10-22 05:31:35,0
63,Educativos,FunLab,40.81,7,125,2.7,4197,2023-01-19 20:20:55,0
64,Exterior,EduKids,117.64,9,811,2.7,2322,2023-12-17 06:16:07,0
65,Construcción,RoboToy,25.16,10,536,2.8,1636,2018-06-10 15:52:58,0
66,Tecnología,FunLab,6.97,3,144,4.6,3115,2020-04-26 11:30:52,1
67,Muñecos,FunLab,92.79,8,1235,4.8,4090,2024-04-26 01:10:56,0
68,Tecnología,MegaPlay,97.79,3,24,2.8,3004,2018-06-30 10:44:21,0
69,Muñecos,StarFun,44.82,4,1417,3.1,329,2020-11-22 20:32:23,0
70,Exterior,MegaPlay,58.44,3,66,2.9,3640,2024-06-15 13:26:42,0
71,Exterior,EduKids,79.72,13,232,3.0,3894,2022-07-21 21:35:35,0
72,Exterior,RoboToy,10.53,7,108,4.6,4107,2023-03-09 01:16:16,1
73,Muñecos,MegaPlay,114.15,12,1169,3.3,1341,2022-05-27 15:54:34,0
74,Tecnología,FunLab,106.97,11,110,3.3,3663,2022-10-26 17:58:07,0
75,Exterior,RoboToy,35.0,8,227,3.1,215,2020-11-03 02:30:00,0
76,Mesa,RoboToy,6.76,13,110,4.0,338,2020-12-05 05:05:16,0
77,Muñecos,FunLab,112.35,13,1493,3.4,4062,2021-05-03 13:32:26,0
78,Muñecos,MegaPlay,62.62,3,33,4.4,2708,2024-12-19 16:05:00,1
79,Tecnología,FunLab,67.03,3,622,3.0,3152,2019-05-11 16:24:56,0
80,Muñecos,StarFun,83.66,4,1392,4.5,1750,2023-11-25 03:34:59,0
81,Muñecos,RoboToy,75.82,11,747,4.0,2421,2019-07-26 04:59:06,0
82,Exterior,HappyBlocks,113.55,5,594,2.8,709,2018-05-16 01:04:37,0
83,Tecnología,HappyBlocks,113.59,3,424,3.5,3726,2018-03-27 13:52:59,0
84,Exterior,EduKids,104.73,7,612,4.7,3642,2022-07-29 12:26:46,0
85,Exterior,FunLab,78.19,9,691,4.8,3993,2018-11-26 22:24:04,1
86,Tecnología,FunLab,97.11,8,1305,3.7,488,2018-10-19 20:04:58,0
87,Construcción,EduKids,82.87,14,1343,3.7,46,2021-03-29 20:44:28,0
88,Exterior,EduKids,70.94,3,1466,4.8,3359,2021-10-22 09:31:36,1
89,Mesa,EduKids,19.78,7,314,4.0,4873,2021-12-24 21:21:54,0
90,Mesa,RoboToy,98.29,7,876,2.6,4806,2018-07-22 09:27:58,0
91,Muñecos,StarFun,99.37,8,1400,4.8,400,2019-10-24 23:30:30,0
92,Mesa,FunLab,76.98,5,1312,3.1,3990,2018-09-13 18:25:45,0
93,Muñecos,RoboToy,99.35,7,1460,3.9,3157,2018-07-12 08:55:37,0
94,Construcción,EduKids,79.92,9,661,2.9,4345,2019-01-06 04:31:27,0
